市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
北九州市,939029,443269,495760,898013,423283,474730,109590,55857,53733,503800,247580,256220,286177,117819,168358,150527,55566,94961,10815
福岡市,1612392,761148,851244,1504528,705628,798900,204973,104834,100139,990298,475234,515064,338930,140781,198149,163995,59737,104258,31904
大牟田市,111281,51262,60019,109466,50476,58990,12194,6271,5923,56397,27655,28742,41290,16663,24627,21862,7559,14303,662
久留米市,303316,144522,158794,279016,132557,146459,37877,19379,18498,160800,78227,82573,80051,33470,46581,39991,14786,25205,2895
直方市,56212,26403,29809,55438,25964,29474,7336,3839,3497,29633,14766,14867,19005,7678,11327,10208,3625,6583,566
飯塚市,126364,60174,66190,124259,59037,65222,16215,8306,7909,68782,34585,34197,39727,16235,23492,19681,6892,12789,1211
田川市,46203,21056,25147,45379,20689,24690,5711,2831,2880,23890,11510,12380,15939,6386,9553,8147,2813,5334,401
柳川市,64475,30437,34038,63541,29932,33609,7632,3912,3720,34830,17167,17663,21580,9103,12477,11291,4228,7063,534
八女市,60608,28451,32157,59770,28147,31623,7024,3581,3443,30942,15283,15659,22037,9287,12750,11902,4352,7550,436
筑後市,48827,23400,25427,48146,23100,25046,7103,3635,3468,28176,13859,14317,13329,5761,7568,6650,2553,4097,495
大川市,32988,15427,17561,32633,15268,17365,3451,1720,1731,17544,8546,8998,11791,5071,6720,6418,2526,3892,218
行橋市,71426,34120,37306,69983,33359,36624,9417,4833,4584,39439,19620,19819,21649,9132,12517,10853,4093,6760,557
豊前市,24391,11378,13013,23943,11157,12786,2818,1422,1396,12298,6105,6193,9127,3779,5348,4883,1769,3114,326
中間市,40362,18961,21401,39786,18585,21201,4405,2297,2108,20583,10209,10374,15106,6266,8840,7949,3007,4942,337
小郡市,59360,27825,31535,58257,27311,30946,8115,4093,4022,33967,16295,17672,16834,7216,9618,8750,3382,5368,869
筑紫野市,103311,49289,54022,101594,48276,53318,14813,7618,7195,60682,29282,31400,26417,11546,14871,12055,4746,7309,533
春日市,111023,53099,57924,108364,51906,56458,16905,8758,8147,67730,32786,34944,24377,10716,13661,11259,4522,6737,766
大野城市,102085,48887,53198,99328,47262,52066,15654,8002,7652,61537,29836,31701,22374,9678,12696,10757,4191,6566,783
宗像市,97095,46143,50952,94596,45081,49515,13338,6815,6523,53601,26165,27436,28276,12312,15964,13885,5510,8375,726
太宰府市,73164,34743,38421,71500,33787,37713,10355,5323,5032,41044,19765,21279,20332,8781,11551,10252,4138,6114,445
古賀市,58786,27924,30862,57941,27540,30401,8364,4254,4110,34049,16529,17520,16247,7054,9193,7534,2937,4597,781
福津市,67033,31286,35747,66116,30887,35229,10984,5580,5404,36478,17424,19054,18887,8008,10879,9575,3687,5888,394
うきは市,27981,13145,14836,27624,12982,14642,3377,1757,1620,13999,6975,7024,9876,4031,5845,5166,1788,3378,241
宮若市,26298,12379,13919,25856,12148,13708,3141,1612,1529,13393,6732,6661,9644,3975,5669,5015,1693,3322,362
