市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
熊本市,738865,349115,389750,718502,338800,379702,99199,50625,48574,429187,207631,221556,191066,80083,110983,96800,36235,60565,5421
八代市,123067,57298,65769,120072,56474,63598,14679,7487,7192,65046,31566,33480,42131,17647,24484,22619,8345,14274,2036
人吉市,31108,14363,16745,30761,14199,16562,3709,1893,1816,15261,7436,7825,11649,4748,6901,6330,2228,4102,175
荒尾市,50832,23900,26932,50418,23703,26715,6383,3280,3103,26066,12844,13222,18248,7707,10541,9241,3445,5796,305
水俣市,23557,10913,12644,23485,10889,12596,2673,1408,1265,11219,5527,5692,9624,3946,5678,5307,1904,3403,66
玉名市,64292,30410,33882,63190,29776,33414,7960,4128,3832,34050,16728,17322,21983,9413,12570,11792,4402,7390,841
山鹿市,49025,23000,26025,48591,22874,25717,5867,3011,2856,24416,12036,12380,18601,7875,10726,10057,3743,6314,354
菊池市,46416,22076,24340,45671,21824,23847,6100,3117,2983,24328,12015,12313,15807,6853,8954,8377,3184,5193,591
宇土市,36122,17272,18850,35681,17052,18629,4863,2480,2383,20084,9929,10155,10885,4687,6198,5842,2272,3570,194
上天草市,24563,11502,13061,24422,11452,12970,2541,1276,1265,11653,5775,5878,10321,4431,5890,5606,2116,3490,95
宇城市,57032,26991,30041,56446,26739,29707,7189,3695,3494,29603,14528,15075,19919,8567,11352,10619,4033,6586,459
阿蘇市,24930,11763,13167,24495,11631,12864,2778,1426,1352,12035,6050,5985,10051,4250,5801,5596,2102,3494,394
天草市,75783,35420,40363,75328,35225,40103,8436,4364,4072,35883,17789,18094,31011,13064,17947,16927,6163,10764,320
合志市,61772,29702,32070,61404,29522,31882,11505,5903,5602,35085,17206,17879,14960,6511,8449,7137,2795,4342,245
美里町,9392,4361,5031,9329,4336,4993,778,382,396,4198,2119,2079,4416,1860,2556,2577,899,1678,63
玉東町,5045,2399,2646,5019,2382,2637,704,366,338,2508,1255,1253,1833,778,1055,1020,381,639,26
南関町,8979,4282,4697,8831,4185,4646,951,476,475,4484,2261,2223,3529,1537,1992,1931,735,1196,147
長洲町,15372,7668,7704,14777,7190,7587,1843,951,892,8024,4218,3806,5492,2487,3005,2578,1002,1576,592
和水町,9342,4397,4945,9303,4374,4929,950,489,461,4410,2237,2173,3961,1653,2308,2290,831,1459,39
大津町,35187,17449,17738,34522,17135,17387,5980,3118,2862,21234,10843,10391,7632,3264,4368,3691,1390,2301,383
菊陽町,43337,21220,22117,42337,20777,21560,7429,3759,3670,26215,13189,13026,9043,3979,5064,4233,1693,2540,389
南小国町,3750,1781,1969,3679,1745,1934,431,214,217,1806,919,887,1511,647,864,801,280,521,71
小国町,6590,3135,3455,6549,3132,3417,699,364,335,3106,1595,1511,2775,1169,1606,1498,539,959,41
産山村,1382,714,668,1355,695,660,145,77,68,645,357,288,592,280,312,347,146,201,27
高森町,5789,2788,3001,5727,2768,2959,628,335,293,2633,1350,1283,2503,1091,1412,1331,502,829,62
西原村,6426,3109,3317,6339,3085,3254,900,471,429,3496,1717,1779,2026,917,1109,955,369,586,87
南阿蘇村,9836,4796,5040,9682,4702,4980,1005,543,462,4551,2331,2220,4201,1872,2329,2171,832,1339,93
御船町,16303,7762,8541,16226,7730,8496,2239,1138,1101,8275,4036,4239,5663,2518,3145,2819,1119,1700,71
嘉島町,9547,4584,4963,9443,4511,4932,1707,839,868,5299,2662,2637,2531,1074,1457,1375,493,882,104
益城町,32510,15602,16908,32304,15513,16791,5144,2635,2509,17502,8526,8976,9742,4368,5374,4862,1964,2898,133
甲佐町,10132,4813,5319,10065,4765,5300,1277,652,625,4863,2452,2411,3987,1705,2282,2178,813,1365,59
山都町,13503,6439,7064,13399,6389,7010,1241,625,616,5455,2824,2631,6771,2977,3794,3833,1417,2416,103
氷川町,11094,5083,6011,10924,5068,5856,1206,619,587,5321,2562,2759,4298,1780,2518,2302,818,1484,155
芦北町,15681,7370,8311,15650,7362,8288,1619,835,784,7030,3537,3493,7025,2994,4031,3948,1500,2448,31
津奈木町,4254,1993,2261,4247,1990,2257,460,231,229,1984,992,992,1790,759,1031,1033,366,667,7
錦町,10288,4891,5397,10233,4861,5372,1529,778,751,5330,2647,2683,3420,1459,1961,1676,628,1048,49
多良木町,9076,4263,4813,8994,4231,4763,1026,514,512,4130,2081,2049,3879,1642,2237,2151,794,1357,60
湯前町,3627,1700,1927,3622,1698,1924,391,203,188,1635,835,800,1601,662,939,909,327,582,5
水上村,2033,938,1095,2026,937,1089,264,141,123,867,443,424,902,354,548,530,166,364,7
相良村,4070,1929,2141,4055,1919,2136,437,223,214,1879,959,920,1754,747,1007,949,357,592,15
五木村,931,447,484,928,447,481,72,34,38,409,221,188,446,191,255,266,92,174,3
山江村,3238,1498,1740,3233,1497,1736,513,258,255,1520,725,795,1168,497,671,611,211,400,5
球磨村,2433,1174,1259,2432,1174,1258,245,128,117,1094,560,534,1087,483,604,557,204,353,1
あさぎり町,14676,6783,7893,14463,6761,7702,1936,967,969,7082,3419,3663,5633,2379,3254,3039,1124,1915,203
苓北町,7114,3388,3726,7046,3381,3665,735,381,354,3297,1717,1580,3071,1282,1789,1749,609,1140,64
