市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
仙台市,1096704,531617,565087,1052030,508588,543442,128665,66123,62542,673081,334398,338683,257223,110803,146420,127450,50154,77296,11507
石巻市,140151,68338,71813,137686,67255,70431,14579,7467,7112,76979,39552,37427,46507,20023,26484,24509,9392,15117,1071
塩竈市,52203,24877,27326,51434,24602,26832,5407,2774,2633,28777,14265,14512,17682,7612,10070,9144,3607,5537,503
気仙沼市,61147,29905,31242,60187,29508,30679,5427,2765,2662,31637,16398,15239,23437,10252,13185,12639,4948,7691,582
白石市,32758,15976,16782,32380,15831,16549,3303,1727,1576,17574,9021,8553,11648,5114,6534,5999,2325,3674,214
名取市,78718,38567,40151,77588,37998,39590,11872,6036,5836,47869,23785,24084,17878,8106,9772,8538,3481,5057,359
角田市,27976,13797,14179,27717,13678,14039,2910,1462,1448,14931,7794,7137,10015,4462,5553,5015,1967,3048,206
多賀城市,62827,31359,31468,61287,30554,30733,8186,4230,3956,37896,19578,18318,15490,6813,8677,7509,3022,4487,364
岩沼市,44068,21684,22384,43553,21435,22118,5840,3027,2813,26065,13216,12849,11755,5152,6603,5548,2195,3353,375
登米市,76037,37163,38874,75501,36980,38521,8332,4296,4036,40399,20990,19409,26956,11687,15269,13740,5019,8721,328
栗原市,64637,31134,33503,64116,30975,33141,6262,3248,3014,31948,16500,15448,26204,11274,14930,14013,5116,8897,486
東松島市,39098,19089,20009,38931,19023,19908,4820,2441,2379,22690,11504,11186,11587,5143,6444,5630,2246,3384,142
大崎市,127330,62429,64901,126036,61814,64222,15025,7591,7434,72656,37418,35238,38738,16817,21921,19211,7152,12059,726
富谷市,51651,25091,26560,51273,24925,26348,8491,4296,4195,31812,15546,16266,11144,5144,6000,4735,2053,2682,219
蔵王町,11418,5569,5849,11342,5524,5818,1169,590,579,5864,3012,2852,4367,1957,2410,2253,860,1393,67
七ヶ宿町,1262,620,642,1235,609,626,90,48,42,589,326,263,583,246,337,370,137,233,27
大河原町,23571,11530,12041,23293,11368,11925,3029,1545,1484,13789,6928,6861,6520,2907,3613,3268,1348,1920,125
村田町,10666,5293,5373,10568,5253,5315,1080,538,542,5749,3025,2724,3784,1709,2075,1886,739,1147,54
柴田町,38271,19342,18929,37726,19063,18663,4368,2229,2139,22274,11711,10563,11032,5029,6003,5042,2174,2868,140
川崎町,8345,4100,4245,8205,4077,4128,731,394,337,4381,2223,2158,3210,1467,1743,1559,602,957,127
丸森町,12262,6117,6145,12117,6038,6079,1061,555,506,5889,3150,2739,5293,2400,2893,2882,1134,1748,133
亘理町,33087,16212,16875,32779,16045,16734,3790,1903,1887,18734,9465,9269,10389,4724,5665,4888,2025,2863,155
山元町,12046,5978,6068,11977,5943,6034,1074,565,509,6013,3131,2882,4943,2272,2671,2536,1067,1469,58
松島町,13323,6414,6909,13257,6384,6873,1221,652,569,6881,3509,3372,5215,2247,2968,2826,1090,1736,63
七ヶ浜町,18132,9024,9108,18014,8962,9052,1948,1025,923,10511,5380,5131,5644,2603,3041,2655,1092,1563,98
利府町,35182,17162,18020,34963,17061,17902,5045,2582,2463,21264,10504,10760,8649,3956,4693,3812,1527,2285,120
大和町,28786,14979,13807,28062,14607,13455,4115,2105,2010,17601,9525,8076,6502,2977,3525,3215,1254,1961,374
大郷町,7813,3814,3999,7731,3767,3964,863,466,397,3926,2005,1921,3017,1339,1678,1504,568,936,79
大衡村,5849,2938,2911,5790,2897,2893,871,469,402,3263,1705,1558,1709,758,951,830,321,509,58
色麻町,6698,3246,3452,6660,3239,3421,783,395,388,3560,1828,1732,2343,1015,1328,1160,411,749,34
加美町,21943,10767,11176,21767,10684,11083,2327,1175,1152,11468,6003,5465,8137,3582,4555,4145,1558,2587,162
涌谷町,15388,7520,7868,15305,7484,7821,1471,737,734,8091,4225,3866,5796,2540,3256,2856,1067,1789,57
美里町,23994,11616,12378,23912,11585,12327,2628,1347,1281,12743,6542,6201,8547,3669,4878,4340,1639,2701,64
女川町,6430,3351,3079,6218,3300,2918,521,263,258,3554,2049,1505,2333,1017,1316,1306,501,805,212
南三陸町,12225,5980,6245,12061,5959,6102,1124,573,551,6387,3299,3088,4707,2102,2605,2545,943,1602,164
