市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
福島市,282693,138190,144503,275185,134285,140900,31136,15969,15167,160024,81311,78713,84304,36593,47711,43183,16798,26385,1772
会津若松市,117376,56063,61313,114836,54958,59878,13716,7018,6698,65104,32693,32411,36307,15185,21122,18859,6777,12082,738
郡山市,327692,161830,165862,320053,157931,162122,39177,20023,19154,193417,98760,94657,86479,37650,48829,41984,16219,25765,2561
いわき市,332931,163525,169406,324313,159711,164602,37979,19513,18466,184720,95531,89189,102319,44397,57922,51554,19646,31908,2439
白河市,59491,29681,29810,58275,29096,29179,6995,3555,3440,34109,17880,16229,17546,7741,9805,8658,3365,5293,574
須賀川市,74992,36781,38211,73901,36225,37676,9537,4845,4692,43226,22033,21193,21188,9340,11848,9995,3865,6130,375
喜多方市,44760,21438,23322,44542,21372,23170,4905,2506,2399,23375,11939,11436,16479,6992,9487,9063,3216,5847,216
相馬市,34865,17536,17329,34349,17265,17084,4215,2167,2048,19325,10274,9051,10792,4716,6076,5321,2009,3312,178
二本松市,53557,26305,27252,53129,26137,26992,5760,2939,2821,29073,14917,14156,18406,8244,10162,9191,3509,5682,344
田村市,35169,17320,17849,34719,17136,17583,3626,1809,1817,18763,9789,8974,12609,5613,6996,6926,2592,4334,311
南相馬市,59005,31015,27990,57406,29911,27495,5099,2577,2522,30626,16953,13673,20796,9335,11461,10392,4046,6346,403
伊達市,58240,28313,29927,57779,28144,29635,5961,2958,3003,31100,15927,15173,21008,9304,11704,11036,4361,6675,401
本宮市,30236,15018,15218,30050,14942,15108,3881,2032,1849,17765,9196,8569,8579,3784,4795,4284,1640,2644,186
桑折町,11459,5491,5968,11413,5475,5938,1200,605,595,5895,2979,2916,4347,1897,2450,2353,932,1421,35
国見町,8639,4114,4525,8580,4105,4475,727,366,361,4268,2129,2139,3642,1618,2024,1889,742,1147,59
川俣町,12170,5986,6184,11984,5914,6070,940,458,482,6005,3174,2831,5096,2286,2810,2688,1035,1653,105
大玉村,8900,4427,4473,8843,4396,4447,1322,655,667,5095,2627,2468,2455,1130,1325,1123,422,701,47
鏡石町,12318,6030,6288,12268,6012,6256,1684,882,802,7187,3686,3501,3441,1462,1979,1661,608,1053,50
天栄村,5194,2567,2627,5138,2533,2605,530,280,250,2748,1431,1317,1916,856,1060,919,322,597,56
下郷町,5264,2602,2662,5248,2600,2648,476,244,232,2428,1285,1143,2360,1073,1287,1388,541,847,15
檜枝岐村,504,259,245,504,259,245,58,32,26,252,136,116,194,91,103,123,53,70,0
只見町,4044,1976,2068,4014,1962,2052,353,191,162,1783,967,816,1907,817,1090,1184,462,722,30
南会津町,14451,7116,7335,14370,7086,7284,1331,661,670,7030,3775,3255,6048,2647,3401,3517,1361,2156,68
北塩原村,2556,1290,1266,2521,1277,1244,258,136,122,1349,725,624,948,428,520,441,155,286,35
西会津町,5770,2789,2981,5732,2782,2950,468,224,244,2582,1373,1209,2718,1190,1528,1604,585,1019,38
磐梯町,3322,1604,1718,3313,1599,1714,421,205,216,1655,872,783,1246,527,719,672,234,438,9
猪苗代町,13552,6533,7019,13482,6506,6976,1422,738,684,6723,3473,3250,5360,2294,3066,2907,1034,1873,64
会津坂下町,15068,7245,7823,14933,7188,7745,1611,821,790,7909,4032,3877,5522,2374,3148,2890,1018,1872,127
湯川村,3081,1485,1596,3073,1485,1588,421,238,183,1594,789,805,1066,458,608,548,199,349,8
柳津町,3081,1501,1580,3074,1500,1574,310,165,145,1374,740,634,1397,596,801,805,294,511,7
三島町,1452,714,738,1444,711,733,96,52,44,573,318,255,783,344,439,449,170,279,8
金山町,1862,908,954,1851,904,947,89,56,33,638,347,291,1134,505,629,736,287,449,11
