市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
京都市,1463723,692279,771444,1369358,644756,724602,153005,78495,74510,847046,412684,434362,394406,165609,228797,209563,80271,129292,39386
福知山市,77306,38504,38802,75194,37445,37749,10041,5118,4923,42693,22462,20231,22974,9923,13051,12217,4710,7507,979
舞鶴市,80336,40244,40092,78084,39108,38976,9756,4870,4886,43185,23278,19907,25438,10906,14532,13714,5375,8339,836
綾部市,31846,15239,16607,31169,14950,16219,3462,1761,1701,15767,8029,7738,12313,5259,7054,6964,2720,4244,431
宇治市,179630,86301,93329,177026,85020,92006,21985,11434,10551,103635,51306,52329,53800,23466,30334,27408,11431,15977,2533
宮津市,16758,7942,8816,16620,7902,8718,1595,832,763,7873,4028,3845,7245,3046,4199,4136,1539,2597,126
亀岡市,86174,41654,44520,84393,40852,43541,10707,5512,5195,48207,23810,24397,25959,11710,14249,12247,5151,7096,836
城陽市,74607,35864,38743,73382,35213,38169,8530,4431,4099,40018,19704,20314,25105,11153,13952,12597,5492,7105,633
向日市,56859,27119,29740,55852,26654,29198,7849,4015,3834,32857,16052,16805,15164,6546,8618,7815,3229,4586,470
長岡京市,80608,38793,41815,79500,38196,41304,11065,5623,5442,46950,23233,23717,22021,9576,12445,11516,4825,6691,627
八幡市,70433,34030,36403,68543,32990,35553,8188,4147,4041,39701,19809,19892,22054,9848,12206,10677,4646,6031,1572
京田辺市,73753,36111,37642,70681,34483,36198,10641,5485,5156,43138,21480,21658,17311,7655,9656,8689,3783,4906,915
京丹後市,50860,24357,26503,50235,24157,26078,5662,2901,2761,25593,13096,12497,19292,8182,11110,10874,4095,6779,414
南丹市,31629,15392,16237,30964,15033,15931,3252,1707,1545,16680,8536,8144,11139,4828,6311,6160,2390,3770,325
木津川市,77907,37295,40612,76459,36632,39827,12926,6626,6300,44873,21681,23192,19188,8587,10601,8932,3809,5123,561
大山崎町,15953,7710,8243,15781,7623,8158,2327,1170,1157,9183,4578,4605,4351,1908,2443,2373,1002,1371,111
久御山町,15250,7432,7818,14503,7079,7424,1772,906,866,8361,4227,4134,4875,2164,2711,2382,1035,1347,513
井手町,7406,3594,3812,7165,3475,3690,677,367,310,4124,2113,2011,2562,1087,1475,1342,522,820,206
宇治田原町,8911,4501,4410,8551,4245,4306,1017,531,486,5187,2724,2463,2683,1226,1457,1251,532,719,358
笠置町,1144,541,603,1120,533,587,48,24,24,470,241,229,582,253,329,329,130,199,3
和束町,3478,1617,1861,3459,1608,1851,237,117,120,1584,784,800,1655,714,941,828,336,492,16
精華町,36198,17226,18972,35785,17041,18744,5089,2575,2514,21907,10483,11424,9035,4090,4945,4244,1851,2393,316
南山城村,2391,1125,1266,2366,1114,1252,154,85,69,1077,521,556,1158,518,640,608,254,354,20
京丹波町,12907,6113,6794,12721,6050,6671,1083,535,548,6045,3067,2978,5705,2466,3239,3139,1202,1937,150
伊根町,1928,946,982,1920,944,976,178,100,78,814,438,376,934,406,528,523,181,342,8
与謝野町,20092,9539,10553,19933,9482,10451,2219,1144,1075,10248,5122,5126,7544,3225,4319,4135,1592,2543,97
