市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
水戸市,270685,132537,138148,262174,128140,134034,33685,17307,16378,158472,79988,78484,70922,30822,40100,36916,14684,22232,2818
日立市,174508,87126,87382,170416,85349,85067,17585,9002,8583,97706,51643,46063,56525,25302,31223,30984,13256,17728,1493
土浦市,142074,70935,71139,135299,67408,67891,15510,8049,7461,82307,42866,39441,40903,18096,22807,20802,8524,12278,3650
古河市,139344,69735,69609,135242,67635,67607,16213,8201,8012,82127,42883,39244,39691,18018,21673,18734,7828,10906,3020
石岡市,73061,36167,36894,70867,35045,35822,7543,3900,3643,40001,20609,19392,23972,10784,13188,12304,5005,7299,1011
結城市,50645,25441,25204,48248,24029,24219,6065,3109,2956,28719,15068,13651,15388,6963,8425,7497,3147,4350,2057
龍ケ崎市,76420,37995,38425,73394,36494,36900,8264,4196,4068,44619,22884,21735,22113,10124,11989,10142,4238,5904,1910
下妻市,42521,21412,21109,40061,20100,19961,5034,2625,2409,24731,12921,11810,12043,5457,6586,5723,2295,3428,1948
常総市,60834,30465,30369,55681,27724,27957,6942,3554,3388,35001,18417,16584,18316,8119,10197,8851,3493,5358,4755
常陸太田市,48602,23705,24897,48398,23613,24785,4303,2222,2081,25419,12778,12641,18808,8662,10146,9946,4085,5861,174
高萩市,27699,13804,13895,27265,13575,13690,2686,1371,1315,14805,7748,7057,9900,4530,5370,4848,2063,2785,194
北茨城市,41801,20760,21041,41248,20485,20763,4368,2198,2170,22846,11836,11010,14335,6561,7774,6960,2827,4133,341
笠間市,73173,35783,37390,71749,35122,36627,8235,4230,4005,40639,20694,19945,23420,10449,12971,11468,4661,6807,672
取手市,104524,51476,53048,102280,50389,51891,10593,5474,5119,56760,29042,27718,36052,16262,19790,18209,8018,10191,1392
牛久市,84651,41773,42878,82372,40609,41763,10834,5474,5360,48124,24379,23745,24561,11226,13335,11816,5301,6515,1373
つくば市,241656,121043,120613,218039,109774,108265,34645,17810,16835,143552,74058,69494,45697,20759,24938,21691,9059,12632,6556
ひたちなか市,156581,79293,77288,152689,77178,75511,19610,10080,9530,93439,49116,44323,40234,18125,22109,20700,8985,11715,1578
鹿嶋市,66950,34434,32516,65143,33613,31530,8142,4099,4043,36902,19857,17045,20737,9819,10918,9677,4316,5361,879
潮来市,27604,13672,13932,27018,13357,13661,2953,1511,1442,15322,7889,7433,9078,4125,4953,4378,1803,2575,342
守谷市,68421,34163,34258,67001,33583,33418,10301,5321,4980,41920,21235,20685,15847,7464,8383,6590,2951,3639,1127
常陸大宮市,39267,19392,19875,38729,19138,19591,3632,1859,1773,20414,10525,9889,14627,6684,7943,7794,3151,4643,243
那珂市,53502,26047,27455,52979,25790,27189,6294,3173,3121,29694,14921,14773,17194,7790,9404,8689,3596,5093,253
筑西市,100753,50018,50735,97857,48578,49279,11040,5616,5424,56749,29515,27234,32004,14231,17773,15328,6139,9189,2371
坂東市,52265,26593,25672,49659,25066,24593,5897,2985,2912,30067,16015,14052,15772,7295,8477,7129,2972,4157,2242
稲敷市,39039,19490,19549,37869,18863,19006,3393,1749,1644,21055,11081,9974,14329,6484,7845,6878,2713,4165,1022
かすみがうら市,40087,20341,19746,39044,19766,19278,4376,2273,2103,22859,12150,10709,12779,5866,6913,6201,2577,3624,1016
桜川市,39122,19359,19763,38722,19152,19570,3985,2100,1885,21579,11235,10344,13423,5933,7490,6491,2474,4017,284
神栖市,95454,49407,46047,92441,48036,44405,12569,6411,6158,59856,32296,27560,22162,10100,12062,9868,4009,5859,2656
行方市,32185,15971,16214,31252,15481,15771,3215,1624,1591,17362,9084,8278,11604,5260,6344,5740,2235,3505,931
鉾田市,45953,23376,22577,43157,21678,21479,4647,2387,2260,25268,13529,11739,15454,7203,8251,7396,3114,4282,2474
