市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
富山市,413938,202281,211657,403780,197226,206554,48134,24651,23483,235817,120942,114875,122767,52314,70453,63995,24497,39498,6380
高岡市,166393,80482,85911,159520,77095,82425,16902,8745,8157,86993,44125,42868,54956,23278,31678,28782,10986,17796,2986
魚津市,40535,19729,20806,39869,19453,20416,3923,1982,1941,21193,11115,10078,13906,5829,8077,7497,2827,4670,384
氷見市,43950,20883,23067,43525,20717,22808,4022,2055,1967,22499,11504,10995,17391,7309,10082,9139,3353,5786,424
滑川市,32349,15750,16599,31902,15533,16369,4047,2128,1919,18432,9489,8943,9744,4048,5696,5042,1848,3194,387
黒部市,39638,19514,20124,39171,19293,19878,4645,2434,2211,21761,11343,10418,12517,5311,7206,6602,2499,4103,315
砺波市,48154,23419,24735,47060,22869,24191,5911,3015,2896,27087,13793,13294,14593,6270,8323,7501,2802,4699,709
小矢部市,28983,13991,14992,28413,13756,14657,2940,1514,1426,15086,7667,7419,10817,4724,6093,5705,2187,3518,514
南砺市,47937,22940,24997,47104,22630,24474,4979,2561,2418,24165,12266,11899,18753,8089,10664,10097,3810,6287,811
射水市,90742,44253,46489,88002,42779,45223,11269,5869,5400,51219,26166,25053,27743,11867,15876,13843,5368,8475,2374
舟橋村,3132,1521,1611,3081,1494,1587,528,277,251,1971,985,986,631,257,374,371,131,240,51
上市町,19351,9255,10096,19133,9160,9973,1852,959,893,10280,5223,5057,7199,3058,4141,3785,1458,2327,217
立山町,24792,12002,12790,24573,11911,12662,2780,1429,1351,13698,6977,6721,8273,3571,4702,4284,1645,2639,207
入善町,23839,11385,12454,23305,11144,12161,2342,1206,1136,12621,6458,6163,8780,3673,5107,4676,1731,2945,443
朝日町,11081,5232,5849,10950,5185,5765,903,470,433,5230,2690,2540,4938,2065,2873,2807,1057,1750,124
