市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
松江市,203616,98544,105072,198573,95843,102730,25931,13359,12572,113547,57385,56162,59498,25123,34375,31598,11673,19925,1336
浜田市,54592,27298,27294,53624,26919,26705,5940,3024,2916,28524,15611,12913,19445,8160,11285,10545,3822,6723,651
出雲市,172775,83469,89306,166846,80284,86562,23315,11956,11359,95332,47887,47445,51944,22402,29542,27198,10293,16905,4158
益田市,45003,21355,23648,44089,20959,23130,5284,2751,2533,21988,11045,10943,17017,7181,9836,8997,3290,5707,347
大田市,32846,15742,17104,32347,15516,16831,3655,1944,1711,15778,8042,7736,13264,5677,7587,7284,2650,4634,338
安来市,37062,17743,19319,36697,17609,19088,4277,2204,2073,18817,9609,9208,13835,5866,7969,7521,2806,4715,262
江津市,22959,10890,12069,22650,10779,11871,2403,1199,1204,11467,5879,5588,9008,3744,5264,4901,1695,3206,282
雲南市,36007,17316,18691,35771,17249,18522,4041,2082,1959,17487,8875,8612,14422,6325,8097,7878,2985,4893,212
奥出雲町,11849,5705,6144,11759,5684,6075,1160,593,567,5341,2806,2535,5130,2230,2900,2888,1075,1813,89
飯南町,4577,2157,2420,4535,2147,2388,463,245,218,1998,1030,968,2114,880,1234,1254,444,810,42
川本町,3248,1556,1692,3229,1552,1677,320,160,160,1477,784,693,1433,605,828,836,300,536,19
美郷町,4355,2080,2275,4337,2074,2263,498,261,237,1772,937,835,2084,881,1203,1203,439,764,18
邑南町,10163,4874,5289,10063,4821,5242,1084,548,536,4478,2349,2129,4582,1967,2615,2666,1000,1666,84
津和野町,6875,3221,3654,6823,3216,3607,593,310,283,2944,1528,1416,3337,1382,1955,1932,693,1239,52
吉賀町,6077,2944,3133,5855,2816,3039,573,282,291,2745,1494,1251,2720,1129,1591,1571,558,1013,221
海士町,2267,1113,1154,2255,1107,1148,244,123,121,1118,581,537,905,409,496,493,194,299,12
西ノ島町,2788,1430,1358,2757,1407,1350,253,142,111,1246,706,540,1289,582,707,668,260,408,31
知夫村,634,323,311,631,321,310,69,28,41,281,158,123,284,137,147,151,67,84,3
隠岐の島町,13433,6531,6902,13356,6508,6848,1538,791,747,6316,3352,2964,5570,2381,3189,2906,1038,1868,73
