市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
甲府市,189591,92850,96741,180962,88457,92505,21391,10917,10474,108390,55747,52643,54487,22908,31579,30262,11514,18748,4743
富士吉田市,46530,22645,23885,44903,21869,23034,5088,2576,2512,26184,13169,13015,14006,6201,7805,7384,2941,4443,437
都留市,31016,14949,16067,30122,14542,15580,3133,1607,1526,18015,8917,9098,8772,3913,4859,4538,1846,2692,517
山梨市,33435,16081,17354,33005,15877,17128,3754,1932,1822,18013,8962,9051,11396,5015,6381,6102,2424,3678,185
大月市,22512,10924,11588,22208,10779,11429,1657,801,856,11464,5837,5627,9093,4121,4972,4780,1938,2842,170
韮崎市,29067,14500,14567,28547,14264,14283,3164,1654,1510,16909,8806,8103,8906,3982,4924,4432,1822,2610,487
南アルプス市,69459,34164,35295,68331,33656,34675,9188,4765,4423,40547,20514,20033,19302,8646,10656,9461,3858,5603,971
北杜市,44053,21492,22561,43545,21289,22256,4257,2195,2062,22112,11273,10839,17619,7973,9646,9074,3716,5358,506
甲斐市,75313,37238,38075,73488,36302,37186,9721,4932,4789,42576,21598,20978,19088,8428,10660,9236,3766,5470,965
笛吹市,66947,32447,34500,65266,31707,33559,7915,4029,3886,37628,18890,18738,19870,8698,11172,10372,4176,6196,874
上野原市,22669,11331,11338,22315,11117,11198,1834,936,898,12395,6472,5923,8254,3805,4449,4287,1744,2543,319
甲州市,29237,14068,15169,29045,13998,15047,3032,1554,1478,15440,7737,7703,10717,4743,5974,5791,2317,3474,162
中央市,31216,15509,15707,28809,14351,14458,3512,1761,1751,17372,8825,8547,7548,3416,4132,3497,1446,2051,1646
市川三郷町,14700,7164,7536,14467,7050,7417,1418,751,667,7372,3802,3570,5525,2400,3125,3126,1206,1920,213
早川町,1098,627,471,1091,624,467,72,43,29,573,393,180,451,190,261,287,100,187,7
身延町,10663,5226,5437,10562,5164,5398,665,339,326,4898,2631,2267,5065,2224,2841,2998,1133,1865,96
南部町,7156,3496,3660,7097,3457,3640,568,295,273,3464,1829,1635,3124,1372,1752,1645,613,1032,59
富士川町,14219,6848,7371,13948,6742,7206,1530,770,760,7635,3937,3698,4929,2082,2847,2739,1016,1723,144
昭和町,20909,10451,10458,19697,9934,9763,3283,1651,1632,13097,6806,6291,3984,1747,2237,1986,822,1164,692
道志村,1607,811,796,1598,806,792,146,77,69,847,447,400,614,287,327,296,123,173,9
西桂町,4041,1947,2094,4012,1934,2078,443,212,231,2367,1177,1190,1231,558,673,620,245,375,29
忍野村,9237,5137,4100,8980,5010,3970,1377,712,665,6032,3612,2420,1809,806,1003,806,303,503,238
山中湖村,5179,2559,2620,5055,2487,2568,606,316,290,2822,1432,1390,1731,801,930,823,350,473,121
鳴沢村,2824,1390,1434,2802,1380,1422,329,172,157,1498,755,743,957,443,514,467,192,275,21
富士河口湖町,26082,12839,13243,25613,12634,12979,3439,1728,1711,15422,7855,7567,6860,3033,3827,3439,1358,2081,373
小菅村,684,344,340,676,339,337,68,35,33,306,162,144,310,147,163,165,66,99,8
丹波山村,530,272,258,529,272,257,39,20,19,255,142,113,236,110,126,138,57,81,1
