市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
那覇市,317625,154042,163583,304596,147035,157561,46166,23507,22659,189536,94267,95269,72287,30775,41512,35654,13470,22184,4575
宜野湾市,100125,48826,51299,94625,45803,48822,16651,8398,8253,60492,29913,30579,18925,8259,10666,8969,3552,5417,1572
石垣市,47637,24001,23636,46604,23409,23195,8162,4158,4004,28172,14429,13743,10482,4863,5619,4711,1877,2834,473
浦添市,115690,55977,59713,113147,54713,58434,19722,10035,9687,71286,35105,36181,23180,10209,12971,11025,4408,6617,1135
名護市,63554,31606,31948,61504,30516,30988,10536,5398,5138,37252,18741,18511,13901,6430,7471,6502,2699,3803,529
糸満市,61007,30707,30300,59864,30031,29833,10960,5559,5401,36069,18523,17546,13522,6394,7128,6045,2518,3527,803
沖縄市,142752,69489,73263,136475,65838,70637,23829,12183,11646,85673,42248,43425,28854,12633,16221,13721,5312,8409,1993
豊見城市,64612,31465,33147,63684,31035,32649,12526,6347,6179,38759,19216,19543,12729,5657,7072,5924,2356,3568,367
うるま市,125303,63049,62254,123914,62084,61830,21184,10930,10254,75679,38886,36793,28050,12985,15065,13196,5373,7823,1357
宮古島市,52931,26481,26450,51750,26000,25750,8402,4350,4052,29513,15249,14264,14079,6410,7669,6904,2820,4084,464
南城市,44043,22164,21879,43646,21932,21714,7734,3974,3760,24757,12721,12036,11409,5383,6026,5623,2346,3277,257
国頭村,4517,2317,2200,4485,2297,2188,587,301,286,2380,1253,1127,1550,763,787,775,316,459,32
大宜味村,3092,1640,1452,3068,1628,1440,351,173,178,1594,866,728,1146,600,546,570,244,326,23
東村,1598,884,714,1587,875,712,198,109,89,813,466,347,587,309,278,269,127,142,11
今帰仁村,8894,4466,4428,8848,4441,4407,1335,665,670,4538,2332,2206,3019,1469,1550,1534,614,920,44
本部町,12530,6337,6193,12348,6245,6103,1796,906,890,6547,3353,3194,4107,2035,2072,1918,784,1134,133
恩納村,10869,5497,5372,10121,5096,5025,1585,765,820,6663,3475,3188,2621,1257,1364,1240,497,743,743
宜野座村,5833,2907,2926,5789,2873,2916,1157,569,588,3179,1653,1526,1491,681,810,724,282,442,43
金武町,10806,5371,5435,10701,5309,5392,1874,946,928,5920,3109,2811,3006,1311,1695,1580,586,994,100
伊江村,4118,2074,2044,4092,2066,2026,623,328,295,2071,1094,977,1424,652,772,721,278,443,26
読谷村,41206,20242,20964,40338,19757,20581,7073,3585,3488,24950,12364,12586,9050,4225,4825,4323,1811,2512,736
嘉手納町,13521,6561,6960,13354,6465,6889,2307,1168,1139,7862,3929,3933,3273,1414,1859,1756,672,1084,97
北谷町,28201,13483,14718,26731,12762,13969,4780,2434,2346,16975,8186,8789,5765,2572,3193,2807,1107,1700,787
北中城村,17969,8667,9302,17453,8331,9122,2973,1474,1499,10528,5156,5372,4294,1925,2369,2247,893,1354,383
中城村,22157,11036,11121,21274,10551,10723,3865,1966,1899,13021,6590,6431,4113,1868,2245,1985,792,1193,329
西原町,34984,17647,17337,34058,17033,17025,5637,2892,2745,21351,10956,10395,7514,3518,3996,3314,1444,1870,507
与那原町,19695,9554,10141,19282,9367,9915,3750,1945,1805,11665,5699,5966,3902,1759,2143,1764,709,1055,109
南風原町,40440,19825,20615,39978,19574,20404,8161,4162,3999,24111,11898,12213,7862,3628,4234,3684,1559,2125,221
渡嘉敷村,718,387,331,712,383,329,138,74,64,434,235,199,146,78,68,73,29,44,6
座間味村,892,486,406,877,476,401,160,94,66,545,292,253,187,100,87,79,31,48,15
粟国村,683,384,299,681,384,297,82,38,44,346,205,141,248,138,110,133,55,78,2
渡名喜村,346,206,140,344,205,139,29,20,9,174,111,63,143,75,68,77,34,43,2
南大東村,1285,744,541,1254,732,522,202,98,104,767,468,299,316,178,138,162,80,82,31
北大東村,590,367,223,585,364,221,98,58,40,365,230,135,127,79,48,49,23,26,5
伊平屋村,1126,607,519,1118,606,512,195,94,101,598,334,264,333,179,154,162,69,93,8
伊是名村,1322,718,604,1299,705,594,207,102,105,707,414,293,408,202,206,201,83,118,23
久米島町,7192,3823,3369,7152,3802,3350,1075,568,507,3965,2172,1793,2145,1079,1066,1085,465,620,35
八重瀬町,30941,15244,15697,30805,15148,15657,5977,3047,2930,17990,9003,8987,6925,3173,3752,3336,1342,1994,129
多良間村,1058,575,483,1047,574,473,150,80,70,585,328,257,323,167,156,156,74,82,11
竹富町,3942,2033,1909,3898,2013,1885,707,362,345,2308,1194,1114,905,463,442,416,168,248,26
与那国町,1676,923,753,1661,913,748,302,148,154,1014,598,416,360,177,183,145,63,82,15
所属未定地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
