市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
松山市,511192,240292,270900,489817,229315,260502,61680,31519,30161,286198,137229,148969,139574,58123,81451,70640,26426,44214,2672
今治市,151672,71799,79873,147778,69509,78269,16907,8635,8272,79655,39899,39756,53977,22710,31267,28490,10825,17665,3043
宇和島市,70809,33213,37596,70122,32914,37208,7204,3795,3409,34997,17458,17539,28193,11687,16506,14732,5261,9471,365
八幡浜市,31987,14971,17016,31684,14866,16818,3055,1565,1490,15625,7815,7810,13094,5452,7642,7159,2630,4529,210
新居浜市,115938,56004,59934,113361,54678,58683,14205,7303,6902,62529,31991,30538,37325,15559,21766,19612,7323,12289,1206
西条市,104791,50615,54176,102779,49317,53462,12925,6571,6354,56521,28874,27647,34403,14638,19765,18067,6844,11223,1299
大洲市,40575,19423,21152,39996,19154,20842,4560,2344,2216,20500,10293,10207,14954,6457,8497,7995,3026,4969,169
伊予市,35133,16385,18748,34808,16288,18520,4295,2242,2053,18720,9045,9675,11996,5046,6950,6168,2287,3881,211
四国中央市,82754,40468,42286,78462,38609,39853,8843,4546,4297,42207,21567,20640,26658,11542,15116,13638,5230,8408,719
西予市,35388,16635,18753,35049,16552,18497,3571,1840,1731,16127,8186,7941,15578,6554,9024,8875,3301,5574,274
東温市,33903,16180,17723,33378,15889,17489,4147,2100,2047,19105,9378,9727,10216,4444,5772,5095,1965,3130,168
上島町,6509,3421,3088,6196,3127,3069,455,235,220,3088,1884,1204,2953,1293,1660,1592,617,975,306
久万高原町,7404,3513,3891,7325,3483,3842,551,282,269,3110,1645,1465,3655,1542,2113,2324,872,1452,34
松前町,29630,13911,15719,29402,13823,15579,3933,2000,1933,16323,7906,8417,9267,3941,5326,4799,1881,2918,141
砥部町,20480,9519,10961,20255,9432,10823,2425,1209,1216,10864,5193,5671,6987,3017,3970,3505,1374,2131,73
内子町,15322,7303,8019,15268,7299,7969,1610,854,756,7437,3728,3709,6267,2714,3553,3532,1364,2168,53
伊方町,8397,4036,4361,8330,4018,4312,636,322,314,3780,2012,1768,3979,1701,2278,2245,807,1438,67
松野町,3674,1725,1949,3656,1725,1931,303,143,160,1635,842,793,1733,738,995,963,364,599,18
鬼北町,9682,4463,5219,9596,4451,5145,874,475,399,4280,2087,2193,4528,1901,2627,2532,929,1603,86
愛南町,19601,9186,10415,19544,9153,10391,1585,825,760,9037,4517,4520,8942,3818,5124,4573,1719,2854,45
