市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
盛岡市,289731,136919,152812,282387,133025,149362,33602,16995,16607,167894,82155,85739,80035,33055,46980,41034,15090,25944,1321
宮古市,50369,24381,25988,50044,24204,25840,5003,2547,2456,25994,13597,12397,19042,7996,11046,10378,3849,6529,125
大船渡市,34728,16679,18049,34275,16547,17728,3379,1756,1623,17943,9178,8765,13055,5490,7565,7256,2680,4576,318
花巻市,93193,44423,48770,92424,44066,48358,10177,5180,4997,50113,25484,24629,32231,13358,18873,17531,6384,11147,373
北上市,93045,46852,46193,91883,46335,45548,11420,5911,5509,54390,28867,25523,25238,10554,14684,12806,4660,8146,736
久慈市,33043,15883,17160,32588,15732,16856,3697,1951,1746,17697,8877,8820,11006,4637,6369,5805,2113,3692,324
遠野市,25366,12222,13144,25201,12165,13036,2554,1300,1254,12497,6553,5944,10283,4345,5938,5824,2104,3720,155
一関市,111932,54254,57678,110816,53882,56934,11563,5993,5570,58370,30001,28369,41306,17815,23491,22181,8184,13997,799
陸前高田市,18262,8831,9431,18072,8787,9285,1637,843,794,9223,4815,4408,7356,3137,4219,4183,1590,2593,173
釜石市,32078,15369,16709,31720,15231,16489,2949,1475,1474,16134,8459,7675,12778,5278,7500,7182,2636,4546,219
二戸市,25513,11993,13520,25261,11935,13326,2541,1285,1256,13330,6699,6631,9509,3931,5578,5153,1868,3285,192
八幡平市,24023,11509,12514,23916,11465,12451,2117,1078,1039,11926,6125,5801,9944,4284,5660,5332,1937,3395,95
奥州市,112937,54840,58097,111896,54341,57555,12501,6438,6063,59785,30892,28893,39997,17092,22905,21732,8119,13613,589
滝沢市,55579,27146,28433,55116,26949,28167,7614,3828,3786,33476,16882,16594,14164,6261,7903,6281,2546,3735,233
雫石町,15731,7505,8226,15689,7482,8207,1584,792,792,8066,4087,3979,6078,2625,3453,3177,1183,1994,42
葛巻町,5634,2731,2903,5611,2727,2884,418,220,198,2498,1338,1160,2716,1171,1545,1501,552,949,23
岩手町,12285,5970,6315,12120,5851,6269,1081,537,544,6296,3315,2981,4896,2109,2787,2671,966,1705,165
紫波町,32147,15390,16757,32039,15338,16701,3948,2046,1902,18073,9001,9072,10088,4317,5771,4991,1887,3104,86
矢巾町,28056,13337,14719,27756,13198,14558,3469,1758,1711,16894,8196,8698,7370,3189,4181,3458,1277,2181,104
西和賀町,5134,2380,2754,5110,2374,2736,360,186,174,2155,1148,1007,2619,1046,1573,1608,535,1073,24
金ケ崎町,15535,8030,7505,15342,7927,7415,1832,969,863,8824,4909,3915,4765,2079,2686,2554,964,1590,145
平泉町,7252,3500,3752,7213,3470,3743,791,400,391,3602,1882,1720,2859,1218,1641,1507,556,951,39
住田町,5045,2470,2575,4939,2428,2511,376,194,182,2382,1276,1106,2287,1000,1287,1368,524,844,106
大槌町,11004,5234,5770,10928,5217,5711,1129,587,542,5641,2836,2805,4199,1795,2404,2204,802,1402,51
山田町,14320,6898,7422,14251,6864,7387,1374,724,650,7192,3712,3480,5745,2453,3292,3045,1141,1904,62
岩泉町,8726,4327,4399,8665,4305,4360,738,381,357,4103,2232,1871,3863,1693,2170,2202,835,1367,61
田野畑村,3059,1527,1532,3030,1518,1512,317,160,157,1446,769,677,1296,598,698,684,278,406,29
普代村,2487,1244,1243,2466,1233,1233,219,121,98,1200,655,545,1067,467,600,588,226,362,21
軽米町,8421,4090,4331,8332,4087,4245,765,400,365,4134,2166,1968,3521,1524,1997,1926,703,1223,89
野田村,3936,1863,2073,3913,1852,2061,429,215,214,1989,1010,979,1513,633,880,846,305,541,22
九戸村,5378,2556,2822,5362,2554,2808,511,275,236,2489,1277,1212,2378,1004,1374,1292,455,837,16
洋野町,15091,7101,7990,15040,7079,7961,1365,694,671,7448,3762,3686,6274,2641,3633,3341,1210,2131,51
一戸町,11494,5498,5996,11340,5442,5898,987,524,463,5612,2882,2730,4881,2084,2797,2636,939,1697,149
