市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
高松市,417496,202029,215467,399190,192046,207144,52018,26622,25396,233651,116433,117218,115270,49699,65571,58060,22750,35310,3577
丸亀市,109513,53018,56495,106424,51377,55047,14667,7513,7154,61951,31022,30929,31435,13760,17675,15491,6106,9385,1830
坂出市,50624,24145,26479,49498,23615,25883,5584,2868,2716,26502,13342,13160,18171,7709,10462,9670,3674,5996,814
善通寺市,31631,15725,15906,31105,15467,15638,3866,1978,1888,17733,9406,8327,9666,4160,5506,4968,1899,3069,260
観音寺市,57438,27578,29860,56249,27078,29171,6689,3464,3225,30577,15344,15233,19433,8329,11104,10383,3999,6384,739
さぬき市,47003,22484,24519,46251,22136,24115,4566,2292,2274,24407,12314,12093,17369,7567,9802,9330,3692,5638,383
東かがわ市,28279,13358,14921,27964,13246,14718,2467,1242,1225,13640,6787,6853,11990,5244,6746,6654,2641,4013,235
三豊市,61857,29770,32087,60930,29374,31556,6963,3558,3405,32067,16271,15796,22573,9810,12763,12081,4716,7365,719
土庄町,12846,6044,6802,12763,6019,6744,1222,618,604,6072,3021,3051,5528,2385,3143,2878,1076,1802,78
小豆島町,13870,6621,7249,13731,6571,7160,1238,641,597,6500,3350,3150,6117,2616,3501,3441,1312,2129,134
三木町,26878,12943,13935,26454,12734,13720,3441,1764,1677,14700,7211,7489,8445,3802,4643,4118,1684,2434,201
直島町,3103,1646,1457,3067,1630,1437,312,155,157,1691,973,718,1027,463,564,557,224,333,29
宇多津町,18699,9180,9519,17973,8845,9128,2655,1356,1299,11637,5877,5760,3964,1719,2245,2028,774,1254,404
綾川町,22693,10999,11694,22345,10790,11555,2618,1338,1280,11814,5943,5871,8188,3674,4514,4062,1629,2433,284
琴平町,8468,3938,4530,8284,3837,4447,772,412,360,4201,2086,2115,3471,1424,2047,1931,694,1237,168
多度津町,22445,11373,11072,21474,10603,10871,2568,1319,1249,12310,6679,5631,7244,3123,4121,3725,1457,2268,816
まんのう町,17401,8346,9055,17182,8276,8906,2111,1100,1011,8603,4374,4229,6642,2847,3795,3524,1320,2204,183
