市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
大津市,345070,166673,178397,334545,161092,173453,45482,23222,22260,200166,98283,101883,90578,40020,50558,44776,18242,26534,4035
彦根市,113647,56492,57155,109859,54673,55186,14888,7703,7185,67948,34951,32997,28299,12532,15767,14455,5832,8623,2274
長浜市,113636,55406,58230,108099,52697,55402,14546,7521,7025,63648,31872,31776,32349,14251,18098,17201,6874,10327,3253
近江八幡市,81122,39676,41446,79187,38686,40501,11335,5729,5606,46578,23559,23019,22493,10043,12450,11021,4515,6506,1376
草津市,143913,72646,71267,133964,67692,66272,19712,10158,9554,86272,45213,41059,30057,13499,16558,14730,6348,8382,2306
守山市,83236,40872,42364,81266,39947,41319,13642,6963,6679,50266,25001,25265,18098,8217,9881,8691,3784,4907,1025
栗東市,68820,34110,34710,67317,33355,33962,11355,5784,5571,43973,22235,21738,13138,5923,7215,6227,2667,3560,1297
甲賀市,88358,44014,44344,84041,41585,42456,11240,5867,5373,50912,26203,24709,24909,11177,13732,12634,5066,7568,3201
野洲市,50513,25121,25392,49474,24586,24888,7139,3726,3413,29647,15186,14461,13189,5989,7200,6425,2802,3623,599
湖南市,54460,28168,26292,50648,26046,24602,7187,3747,3440,33062,17662,15400,13387,6234,7153,5967,2547,3420,3083
高島市,46377,22762,23615,45715,22420,23295,4959,2610,2349,24449,12514,11935,16648,7454,9194,8874,3561,5313,462
東近江市,112819,56296,56523,107969,53604,54365,15176,7795,7381,65768,34027,31741,30209,13480,16729,15125,6048,9077,3536
米原市,37225,18051,19174,36417,17711,18706,4759,2445,2314,20960,10523,10437,11058,4840,6218,6008,2355,3653,524
日野町,20964,10555,10409,20149,10055,10094,2575,1343,1232,11656,6125,5531,6424,2886,3538,3281,1294,1987,557
竜王町,11789,6192,5597,11650,6110,5540,1506,786,720,6897,3842,3055,3315,1516,1799,1517,624,893,98
愛荘町,20893,10373,10520,18815,9377,9438,3150,1590,1560,11474,5856,5618,4595,2032,2563,2296,896,1400,798
豊郷町,7132,3458,3674,6908,3321,3587,1035,512,523,4069,2051,2018,1983,869,1114,960,372,588,188
甲良町,6362,3060,3302,6243,3012,3231,714,377,337,3477,1734,1743,2118,925,1193,1052,409,643,55
多賀町,7274,3504,3770,7235,3490,3745,969,494,475,3559,1782,1777,2464,1075,1389,1305,495,810,37
