市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
長野市,372760,181284,191476,361952,176290,185662,42777,21735,21042,201890,101348,100542,108243,46914,61329,58572,23286,35286,3094
松本市,241145,118271,122874,234020,115245,118775,30107,15507,14600,139128,71247,67881,66647,28806,37841,36797,14517,22280,3425
上田市,154055,75365,78690,149325,73037,76288,18338,9361,8977,86410,44014,42396,47130,20702,26428,25573,10292,15281,3148
岡谷市,47790,23213,24577,47015,22885,24130,5452,2767,2685,25609,13216,12393,16522,7109,9413,9523,3828,5695,723
飯田市,98164,47280,50884,95551,46162,49389,12373,6388,5985,52701,26314,26387,31987,13914,18073,17888,7117,10771,1995
諏訪市,48729,23809,24920,47199,23123,24076,5926,3052,2874,27232,14026,13206,15034,6480,8554,8447,3379,5068,1075
須坂市,49559,24324,25235,48692,23950,24742,6025,3077,2948,27198,13973,13225,16017,7090,8927,8505,3504,5001,624
小諸市,40991,19972,21019,40172,19708,20464,4731,2418,2313,22257,11321,10936,13773,6077,7696,7268,2895,4373,753
伊那市,66125,32437,33688,64391,31680,32711,8183,4160,4023,36480,18705,17775,20663,9151,11512,11398,4635,6763,1645
駒ヶ根市,32202,15729,16473,31351,15372,15979,3953,2036,1917,17956,9163,8793,9921,4354,5567,5491,2221,3270,552
中野市,42338,20552,21786,41448,20237,21211,5086,2642,2444,23236,11609,11627,13670,6104,7566,7079,2833,4246,546
大町市,26029,12594,13435,25470,12427,13043,2460,1331,1129,13174,6653,6521,9891,4315,5576,5456,2137,3319,468
飯山市,19539,9498,10041,19326,9415,9911,2003,1031,972,10049,5120,4929,7445,3320,4125,3975,1544,2431,191
茅野市,56400,28241,28159,54927,27526,27401,7050,3635,3415,31411,16426,14985,17059,7682,9377,9061,3776,5285,907
塩尻市,67241,33620,33621,65443,32711,32732,8360,4317,4043,39154,20410,18744,19155,8554,10601,10325,4256,6069,1233
佐久市,98199,48035,50164,95778,46864,48914,12480,6399,6081,54115,27466,26649,30170,13336,16834,16364,6517,9847,1109
千曲市,58852,28404,30448,57849,28019,29830,6880,3530,3350,32027,16162,15865,19628,8562,11066,10887,4318,6569,754
東御市,30122,14776,15346,29657,14576,15081,3652,1832,1820,17120,8665,8455,9333,4269,5064,4700,1990,2710,465
安曇野市,94222,45398,48824,92609,44780,47829,11364,5796,5568,52221,26051,26170,29932,13212,16720,15780,6483,9297,1092
小海町,4353,2140,2213,4284,2088,2196,404,218,186,2095,1087,1008,1831,821,1010,1065,428,637,68
川上村,4344,2591,1753,3519,1815,1704,449,228,221,2697,1778,919,1196,583,613,652,290,362,825
南牧村,3242,1807,1435,2788,1382,1406,338,165,173,1894,1178,716,996,455,541,547,207,340,452
南相木村,962,473,489,941,463,478,95,53,42,474,249,225,392,170,222,239,87,152,21
北相木村,752,378,374,718,347,371,104,57,47,378,203,175,270,118,152,182,65,117,34
佐久穂町,10218,4966,5252,10139,4938,5201,1055,545,510,5188,2627,2561,3958,1782,2176,2151,838,1313,70
軽井沢町,19188,9178,10010,18660,8890,9770,2133,1032,1101,9991,4822,5169,6148,2788,3360,2989,1228,1761,393
御代田町,15555,7703,7852,14943,7445,7498,1914,970,944,9036,4584,4452,4323,1982,2341,2175,903,1272,367
立科町,6612,3328,3284,6496,3256,3240,624,313,311,3529,1848,1681,2441,1157,1284,1244,541,703,107
青木村,4121,1976,2145,4091,1958,2133,478,230,248,2018,1024,994,1624,721,903,906,365,541,30
長和町,5600,2774,2826,5552,2759,2793,524,266,258,2696,1416,1280,2380,1092,1288,1259,516,743,48
下諏訪町,19155,9238,9917,18825,9101,9724,2056,1052,1004,9581,4948,4633,7360,3141,4219,4400,1790,2610,234
富士見町,14084,6839,7245,13820,6725,7095,1651,832,819,7229,3668,3561,5115,2285,2830,2846,1165,1681,214
原村,7680,3771,3909,7552,3724,3828,979,523,456,4009,2022,1987,2667,1213,1454,1348,537,811,116
