市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
大分市,475614,228421,247193,465298,223082,242216,62944,32030,30914,271307,133532,137775,129289,55740,73549,62917,24713,38204,2661
別府市,115321,52398,62923,109278,49613,59665,11840,6066,5774,59108,28125,30983,39018,15498,23520,21464,7716,13748,2431
中津市,82863,40307,42556,79812,38562,41250,10962,5575,5387,45200,23334,21866,24828,10352,14476,12829,4685,8144,1329
日田市,62657,29676,32981,62106,29463,32643,7768,3984,3784,32326,16177,16149,22379,9428,12951,11802,4369,7433,412
佐伯市,66851,30885,35966,66163,30522,35641,6959,3521,3438,31984,15764,16220,27348,11242,16106,14961,5426,9535,305
臼杵市,36158,17093,19065,35810,16847,18963,3741,1957,1784,17485,8807,8678,14828,6262,8566,8043,3019,5024,313
津久見市,16100,7499,8601,16057,7482,8575,1420,710,710,7430,3711,3719,7238,3071,4167,3900,1433,2467,34
竹田市,20332,9506,10826,20081,9449,10632,1810,942,868,8675,4379,4296,9808,4158,5650,5740,2085,3655,239
豊後高田市,22112,10498,11614,21455,10319,11136,2432,1295,1137,11010,5517,5493,8551,3595,4956,4738,1733,3005,615
杵築市,27999,13437,14562,27502,13198,14304,2943,1517,1426,13487,6867,6620,10378,4425,5953,5712,2119,3593,162
宇佐市,52771,24882,27889,51881,24520,27361,6164,3121,3043,26878,13409,13469,19292,8129,11163,10269,3739,6530,586
豊後大野市,33695,15699,17996,33413,15607,17806,3364,1721,1643,15270,7582,7688,14895,6299,8596,8566,3193,5373,209
由布市,32772,15599,17173,32254,15385,16869,4161,2171,1990,17206,8551,8655,11195,4758,6437,5936,2239,3697,324
国東市,26232,12504,13728,25802,12353,13449,2325,1186,1139,12383,6356,6027,11309,4855,6454,6472,2480,3992,238
姫島村,1725,804,921,1722,802,920,133,76,57,650,330,320,942,398,544,495,186,309,3
日出町,27723,13230,14493,27417,13066,14351,3803,1954,1849,15187,7470,7717,8510,3668,4842,4416,1726,2690,121
九重町,8541,4036,4505,8452,3996,4456,897,459,438,3782,1938,1844,3857,1635,2222,2169,796,1373,86
玖珠町,14386,6940,7446,14232,6890,7342,1606,818,788,7159,3730,3429,5527,2328,3199,2963,1103,1860,100
