市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
岐阜市,402557,191679,210878,377921,180113,197808,45760,23410,22350,219393,106802,112591,113093,48199,64894,60239,23734,36505,6362
大垣市,158286,76994,81292,152167,73980,78187,20339,10483,9856,92709,46527,46182,43465,19024,24441,22665,9120,13545,4934
高山市,84419,40483,43936,83650,40146,43504,10547,5403,5144,45399,22824,22575,28093,11976,16117,15026,5787,9239,706
多治見市,106732,51437,55295,104293,50364,53929,12253,6224,6029,60458,30141,30317,33321,14735,18586,16772,6809,9963,1870
関市,85283,41657,43626,82699,40379,42320,10487,5377,5110,47961,24152,23809,25999,11603,14396,12885,5218,7667,1952
中津川市,76570,37414,39156,74256,36295,37961,9113,4793,4320,41736,21486,20250,24980,10751,14229,13598,5260,8338,1755
美濃市,19247,9289,9958,18725,9045,9680,2112,1066,1046,10121,5074,5047,6973,3114,3859,3461,1374,2087,486
瑞浪市,37150,18156,18994,36064,17617,18447,4187,2180,2007,21105,10945,10160,11639,4927,6712,6248,2314,3934,941
羽島市,65649,32303,33346,64062,31460,32602,8480,4337,4143,38380,19398,18982,18140,8162,9978,8943,3704,5239,987
恵那市,47774,23138,24636,46751,22659,24092,5499,2814,2685,25118,12899,12219,16856,7261,9595,9076,3476,5600,818
美濃加茂市,56689,28141,28548,50418,24996,25422,8277,4076,4201,32868,16660,16208,12916,5775,7141,6554,2631,3923,4642
土岐市,55348,26803,28545,53526,25938,27588,6553,3352,3201,30878,15590,15288,17692,7715,9977,9487,3787,5700,1640
各務原市,144521,71220,73301,140275,68931,71344,18832,9645,9187,83147,42309,40838,40954,18282,22672,20916,9028,11888,2974
可児市,99968,49202,50766,91223,44980,46243,12949,6639,6310,57717,29125,28592,27764,12735,15029,13154,5808,7346,7335
山県市,25280,12184,13096,24668,12000,12668,2616,1362,1254,13520,6674,6846,9115,4142,4973,4563,1896,2667,593
瑞穂市,56388,28105,28283,53139,26476,26663,8590,4425,4165,34645,17565,17080,11829,5367,6462,5663,2410,3253,2158
飛騨市,22538,10860,11678,22407,10803,11604,2393,1214,1179,11032,5760,5272,9102,3875,5227,5270,2012,3258,122
本巣市,32928,15936,16992,32205,15616,16589,4187,2140,2047,18511,9252,9259,10038,4445,5593,4956,2047,2909,576
郡上市,38997,19051,19946,38474,18787,19687,4575,2319,2256,19746,10209,9537,14612,6467,8145,8085,3209,4876,493
下呂市,30428,14471,15957,29921,14240,15681,3246,1656,1590,14670,7399,7271,12298,5275,7023,7087,2758,4329,463
海津市,32735,16045,16690,32000,15686,16314,3270,1667,1603,18152,9207,8945,11257,5134,6123,5330,2206,3124,686
岐南町,25881,12664,13217,24976,12263,12713,3774,1913,1861,15941,7967,7974,5822,2626,3196,2980,1244,1736,574
笠松町,22208,10513,11695,21670,10284,11386,2740,1399,1341,13011,6322,6689,6210,2655,3555,3431,1355,2076,321
養老町,26882,13116,13766,26413,12854,13559,2848,1479,1369,14822,7504,7318,9162,4094,5068,4348,1730,2618,438
垂井町,26402,12985,13417,25607,12570,13037,3272,1685,1587,14765,7531,7234,8280,3718,4562,4123,1725,2398,794
関ケ原町,6610,3202,3408,6462,3132,3330,584,302,282,3338,1693,1645,2649,1180,1469,1373,562,811,139
神戸町,18585,9099,9486,18192,8922,9270,2177,1070,1107,10309,5244,5065,5973,2729,3244,2909,1272,1637,363
輪之内町,9654,4807,4847,9175,4509,4666,1300,651,649,5753,2999,2754,2571,1139,1432,1209,468,741,456
安八町,14355,7036,7319,14041,6883,7158,1875,956,919,8306,4186,4120,4111,1851,2260,2023,845,1178,275
揖斐川町,19529,9366,10163,19306,9237,10069,1993,1022,971,10003,5040,4963,7523,3299,4224,3940,1524,2416,222
大野町,22041,10778,11263,21750,10627,11123,2794,1467,1327,12579,6333,6246,6608,2941,3667,3230,1348,1882,262
池田町,23360,11425,11935,22827,11143,11684,2976,1532,1444,13427,6821,6606,6911,3049,3862,3496,1418,2078,520
北方町,18139,8652,9487,17702,8459,9243,2501,1271,1230,11063,5393,5670,4455,1917,2538,2201,860,1341,436
坂祝町,8071,4168,3903,7506,3832,3674,1046,549,497,4686,2533,2153,2254,1028,1226,1046,419,627,503
富加町,5626,2705,2921,5491,2631,2860,792,405,387,3016,1515,1501,1817,784,1033,947,349,598,135
川辺町,9860,4865,4995,9648,4742,4906,1239,660,579,5449,2772,2677,3158,1423,1735,1661,665,996,200
七宗町,3402,1608,1794,3375,1607,1768,283,148,135,1551,777,774,1568,683,885,869,338,531,27
八百津町,10195,4905,5290,10050,4855,5195,999,511,488,5089,2579,2510,4097,1809,2288,2210,871,1339,139
白川町,7412,3485,3927,7308,3439,3869,586,285,301,3355,1677,1678,3471,1523,1948,2023,769,1254,104
東白川村,2016,964,1052,1996,952,1044,185,91,94,921,488,433,910,385,525,553,214,339,20
御嵩町,17516,8770,8746,16906,8448,8458,2090,1095,995,9755,5056,4699,5565,2542,3023,2720,1135,1585,529
白川村,1511,755,756,1482,746,736,201,93,108,810,443,367,500,219,281,264,110,154,29
