市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
高知市,326545,152455,174090,317204,147276,169928,38125,19395,18730,182962,88347,94615,95909,39118,56791,49765,17917,31848,1493
室戸市,11742,5648,6094,11649,5571,6078,801,409,392,4850,2593,2257,6040,2618,3422,3205,1294,1911,91
安芸市,16243,7754,8489,16062,7657,8405,1490,766,724,7941,4057,3884,6638,2823,3815,3570,1367,2203,67
南国市,46664,22130,24534,45890,21800,24090,5633,2876,2757,25521,12694,12827,14850,6231,8619,7825,2847,4978,275
土佐市,25732,12384,13348,25342,12164,13178,2842,1496,1346,13332,6816,6516,9463,4018,5445,5088,1921,3167,348
須崎市,20590,10068,10522,20162,9782,10380,1940,988,952,10177,5404,4773,8356,3595,4761,4642,1786,2856,390
宿毛市,19033,8914,10119,18805,8825,9980,1980,998,982,9209,4607,4602,7367,3067,4300,3733,1375,2358,68
土佐清水市,12388,5842,6546,12301,5794,6507,895,461,434,5220,2650,2570,6259,2720,3539,3514,1394,2120,79
四万十市,32694,15455,17239,32449,15357,17092,3644,1838,1806,16570,8280,8290,12018,5045,6973,6373,2333,4040,93
香南市,32207,15545,16662,31744,15289,16455,3949,2033,1916,17585,8945,8640,10452,4432,6020,5496,2089,3407,289
香美市,26513,12848,13665,25915,12568,13347,2632,1353,1279,13352,7121,6231,10123,4156,5967,5797,2103,3694,287
東洋町,2194,1085,1109,2153,1054,1099,133,66,67,945,528,417,1116,491,625,618,252,366,41
奈半利町,3034,1399,1635,3015,1389,1626,254,140,114,1353,679,674,1418,574,844,819,290,529,11
田野町,2498,1174,1324,2491,1174,1317,235,112,123,1182,614,568,1060,436,624,629,219,410,7
安田町,2370,1144,1226,2365,1141,1224,210,111,99,1069,561,508,1081,463,618,636,252,384,5
北川村,1146,552,594,1143,550,593,102,49,53,539,291,248,505,212,293,291,109,182,3
馬路村,745,358,387,743,356,387,82,38,44,358,186,172,305,134,171,188,75,113,2
芸西村,3694,1724,1970,3620,1683,1937,399,203,196,1806,936,870,1489,585,904,823,285,538,74
本山町,3261,1516,1745,3239,1511,1728,280,130,150,1419,758,661,1560,627,933,973,334,639,22
大豊町,3252,1546,1706,3219,1535,1684,183,98,85,1160,631,529,1907,816,1091,1164,422,742,33
土佐町,3753,1780,1973,3720,1776,1944,363,193,170,1588,833,755,1801,753,1048,1136,431,705,33
大川村,366,189,177,365,188,177,45,24,21,171,96,75,150,69,81,95,34,61,1
いの町,21374,10179,11195,21214,10098,11116,2042,1047,995,10725,5349,5376,8404,3645,4759,4384,1683,2701,38
仁淀川町,4827,2306,2521,4788,2287,2501,347,194,153,1790,975,815,2685,1134,1551,1701,619,1082,38
中土佐町,6002,2782,3220,5960,2750,3210,502,235,267,2602,1321,1281,2895,1224,1671,1650,595,1055,42
佐川町,12323,5751,6572,12252,5729,6523,1327,671,656,5916,2891,3025,5058,2173,2885,2845,1092,1753,56
越知町,5187,2390,2797,5171,2387,2784,421,213,208,2323,1164,1159,2441,1013,1428,1478,542,936,16
檮原町,3307,1611,1696,3302,1607,1695,320,158,162,1456,784,672,1531,669,862,885,342,543,5
日高村,4812,2282,2530,4794,2277,2517,432,236,196,2307,1162,1145,2073,884,1189,1133,419,714,18
津野町,5291,2516,2775,5263,2511,2752,552,286,266,2351,1201,1150,2388,1029,1359,1399,519,880,28
四万十町,15607,7442,8165,15472,7398,8074,1479,770,709,7061,3624,3437,6979,2995,3984,3944,1491,2453,84
大月町,4434,2128,2306,4415,2115,2300,312,155,157,1946,1004,942,2176,969,1207,1162,432,730,19
三原村,1437,690,747,1424,685,739,104,63,41,657,358,299,676,269,407,427,159,268,13
黒潮町,10262,4944,5318,10111,4831,5280,891,467,424,4757,2487,2270,4614,1990,2624,2405,922,1483,151
