市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
金沢市,463254,224549,238705,446412,215482,230930,56073,28609,27464,271778,136161,135617,121222,51449,69773,61301,23334,37967,4798
七尾市,50300,23970,26330,49257,23522,25735,4997,2593,2404,25395,12682,12713,19370,8321,11049,9968,3778,6190,643
小松市,106216,52182,54034,102830,50152,52678,13834,7080,6754,60584,31068,29516,30443,13162,17281,15912,6322,9590,2271
輪島市,24608,11714,12894,24360,11597,12763,1807,928,879,11351,6007,5344,11327,4696,6631,6335,2288,4047,173
珠洲市,12929,5933,6996,12838,5903,6935,926,446,480,5309,2697,2612,6673,2778,3895,3733,1325,2408,75
加賀市,63220,29939,33281,62143,29453,32690,6715,3472,3243,33589,16915,16674,22681,9422,13259,11791,4392,7399,915
羽咋市,20407,9669,10738,20262,9621,10641,1928,967,961,10189,5150,5039,8231,3507,4724,4395,1644,2751,145
かほく市,34889,16875,18014,34500,16640,17860,4696,2427,2269,19657,9830,9827,10314,4502,5812,5273,2076,3197,297
白山市,110408,53670,56738,108485,52493,55992,15154,7596,7558,63630,31948,31682,30899,13742,17157,14563,5880,8683,1402
能美市,48523,24129,24394,47278,23328,23950,6811,3510,3301,28783,14897,13886,12692,5555,7137,6404,2568,3836,1134
野々市市,57238,29550,27688,55606,28658,26948,8322,4279,4043,35979,19327,16652,11203,4837,6366,5332,2041,3291,473
川北町,6135,3030,3105,6072,2986,3086,1057,566,491,3630,1818,1812,1448,646,802,734,286,448,63
津幡町,36957,18044,18913,36527,17789,18738,5057,2627,2430,22675,11315,11360,9040,3977,5063,4349,1704,2645,275
内灘町,26574,12774,13800,25988,12461,13527,3305,1714,1591,15554,7619,7935,7081,3107,3974,3465,1405,2060,320
志賀町,18630,8878,9752,18467,8836,9631,1656,814,842,8605,4450,4155,8312,3571,4741,4327,1619,2708,163
宝達志水町,12121,5718,6403,11944,5664,6280,1081,537,544,6236,3122,3114,4795,2053,2742,2453,922,1531,173
中能登町,16540,7977,8563,16361,7925,8436,1968,1030,938,8418,4276,4142,6147,2665,3482,3208,1244,1964,179
穴水町,7890,3793,4097,7781,3732,4049,555,311,244,3400,1827,1573,3872,1607,2265,2172,751,1421,80
能登町,15687,7377,8310,15581,7302,8279,1154,598,556,6621,3459,3162,7910,3318,4592,4403,1573,2830,106
