市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
皆野町,9302,4583,4719,9218,4544,4674,936,496,440,4756,2436,2320,3578,1632,1946,1825,745,1080,62
長瀞町,6807,3321,3486,6781,3308,3473,624,318,306,3481,1783,1698,2697,1217,1480,1468,611,857,24
小鹿野町,10928,5382,5546,10821,5331,5490,1038,529,509,5624,2921,2703,4248,1922,2326,2181,866,1315,100
東秩父村,2709,1352,1357,2700,1350,1350,173,84,89,1275,658,617,1261,610,651,670,284,386,9
美里町,11039,5540,5499,10882,5437,5445,1159,594,565,6121,3238,2883,3720,1681,2039,1857,748,1109,137
神川町,13359,6755,6604,12921,6530,6391,1354,691,663,7480,3901,3579,4381,2073,2308,2091,877,1214,346
上里町,30343,15012,15331,28181,14004,14177,3384,1729,1655,17011,8580,8431,8322,3779,4543,3745,1576,2169,945
寄居町,32374,16053,16321,31858,15814,16044,3219,1648,1571,18169,9413,8756,10904,4932,5972,5303,2169,3134,509
宮代町,34147,17182,16965,33353,16800,16553,3711,1892,1819,18897,9949,8948,10974,5034,5940,5706,2556,3150,385
杉戸町,43845,21927,21918,43138,21600,21538,4655,2411,2244,24567,12728,11839,14406,6696,7710,6930,3139,3791,519
松伏町,28266,14208,14058,27935,14046,13889,3069,1605,1464,16785,8711,8074,8405,3886,4519,3964,1726,2238,327
