市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
宇都宮市,518757,259616,259141,496912,248770,248142,65253,33320,31933,307157,159790,147367,129853,57282,72571,63423,25554,37869,8003
足利市,144746,71405,73341,139706,68622,71084,15176,7661,7515,80642,41740,38902,47023,20759,26264,23932,9672,14260,4518
栃木市,155549,77408,78141,150874,74702,76172,17322,8988,8334,87866,45588,42278,49179,22059,27120,23799,9637,14162,3834
佐野市,116228,57494,58734,112432,55677,56755,13011,6718,6293,66171,34286,31885,35621,15801,19820,17437,6808,10629,2690
鹿沼市,94033,46609,47424,92323,45666,46657,11015,5693,5322,53951,27787,26164,28504,12741,15763,13817,5533,8284,1372
日光市,77661,37823,39838,76360,37274,39086,7410,3901,3509,41644,21297,20347,27850,12186,15664,14310,5510,8800,836
小山市,166666,84450,82216,158423,80172,78251,20940,11005,9935,101109,52963,48146,41781,19008,22773,19633,8023,11610,6034
真岡市,78190,39482,38708,74451,37646,36805,10200,5189,5011,45955,24033,21922,21215,9758,11457,9535,3933,5602,3146
大田原市,72087,35407,36680,69751,34352,35399,8176,4111,4065,41342,21135,20207,20726,9289,11437,9634,3768,5866,1010
矢板市,31165,15415,15750,30762,15238,15524,3244,1708,1536,17357,8908,8449,10334,4636,5698,4939,1981,2958,291
那須塩原市,115210,57307,57903,111407,55400,56007,14265,7394,6871,66620,34138,32482,32020,14463,17557,14895,6135,8760,1855
さくら市,44513,23102,21411,44114,22892,21222,6015,3079,2936,26570,14566,12004,11734,5321,6413,5661,2296,3365,381
那須烏山市,24875,12379,12496,24648,12273,12375,2369,1232,1137,13175,6924,6251,9331,4223,5108,4724,1872,2852,227
下野市,59507,29453,30054,57018,28336,28682,7009,3641,3368,34829,17418,17411,14912,6836,8076,7062,2936,4126,599
上三川町,30806,15842,14964,30236,15522,14714,4073,2084,1989,18972,9958,9014,7262,3411,3851,3282,1412,1870,333
益子町,21898,10871,11027,21586,10750,10836,2467,1258,1209,12195,6258,5937,7041,3258,3783,3040,1247,1793,189
茂木町,11891,5872,6019,11787,5836,5951,986,527,459,5810,3024,2786,5073,2308,2765,2592,1032,1560,94
市貝町,11262,5756,5506,11076,5667,5409,1269,638,631,6568,3490,3078,3317,1561,1756,1491,599,892,173
芳賀町,14961,7541,7420,14767,7461,7306,1942,1019,923,8179,4268,3911,4782,2217,2565,2178,899,1279,159
壬生町,39474,19442,20032,38640,18941,19699,4680,2411,2269,22578,11326,11252,11443,5179,6264,5491,2281,3210,503
野木町,24913,12401,12512,24588,12216,12372,2908,1528,1380,13897,7032,6865,8095,3829,4266,3463,1506,1957,325
塩谷町,10354,5135,5219,10299,5119,5180,914,480,434,5282,2772,2510,4157,1882,2275,2044,790,1254,53
高根沢町,29229,15254,13975,28516,14932,13584,3471,1872,1599,18001,9926,8075,7409,3313,4096,3630,1376,2254,398
那須町,23956,11784,12172,23513,11597,11916,2154,1122,1032,11866,6048,5818,9690,4482,5208,4598,1848,2750,242
那珂川町,15215,7682,7533,15067,7627,7440,1284,652,632,7875,4175,3700,6029,2832,3197,3028,1243,1785,143
