市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
鳥取市,188465,91356,97109,185241,89741,95500,23684,12179,11505,106218,53662,52556,54990,23291,31699,27845,10090,17755,1306
米子市,147317,69740,77577,143338,68075,75263,19171,9758,9413,82094,40531,41563,42337,17630,24707,22167,8268,13899,1170
倉吉市,46485,21840,24645,45956,21593,24363,5723,3007,2716,24287,11922,12365,16034,6641,9393,8530,3048,5482,303
境港市,32740,15775,16965,32151,15594,16557,3912,2031,1881,17948,9161,8787,10736,4504,6232,5669,2087,3582,482
岩美町,10799,5178,5621,10718,5138,5580,1143,610,533,5598,2845,2753,4053,1721,2332,2098,764,1334,76
若桜町,2864,1355,1509,2834,1351,1483,191,107,84,1279,659,620,1393,588,805,831,303,528,30
智頭町,6427,3005,3422,6359,2989,3370,621,318,303,3005,1519,1486,2801,1168,1633,1584,539,1045,68
八頭町,15937,7611,8326,15868,7603,8265,1853,949,904,8289,4135,4154,5792,2525,3267,2949,1072,1877,69
三朝町,6060,2875,3185,5995,2849,3146,676,352,324,2962,1502,1460,2408,1015,1393,1307,468,839,61
湯梨浜町,16055,7657,8398,15955,7636,8319,2264,1158,1106,8602,4253,4349,5139,2220,2919,2578,936,1642,91
琴浦町,16365,7682,8683,16166,7630,8536,1979,976,1003,8356,4147,4209,6028,2558,3470,3321,1230,2091,199
北栄町,14228,6818,7410,14121,6792,7329,1793,950,843,7352,3691,3661,5060,2161,2899,2504,943,1561,104
日吉津村,3501,1628,1873,3448,1612,1836,507,246,261,1979,974,1005,986,397,589,497,180,317,32
大山町,15370,7390,7980,15251,7343,7908,1684,868,816,7491,3852,3639,6195,2670,3525,3295,1236,2059,119
南部町,10323,4925,5398,10228,4883,5345,1179,588,591,5261,2657,2604,3879,1677,2202,1976,766,1210,92
伯耆町,10696,5051,5645,10636,5032,5604,1282,633,649,5148,2578,2570,4243,1831,2412,2260,840,1420,47
日南町,4196,1982,2214,4168,1964,2204,296,153,143,1708,940,768,2190,887,1303,1380,480,900,28
日野町,2907,1323,1584,2884,1322,1562,183,84,99,1253,650,603,1471,589,882,868,299,569,23
江府町,2672,1241,1431,2662,1240,1422,189,93,96,1172,605,567,1311,543,768,816,301,515,10
