市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口
秋田市,307672,145411,162261,302311,142356,159955,32809,16793,16016,172755,84882,87873,95949,40000,55949,48525,17949,30576,1187
能代市,49968,22932,27036,49759,22893,26866,4231,2179,2052,24953,12534,12419,20765,8209,12556,11466,3894,7572,208
横手市,85555,40326,45229,85023,40160,44863,8532,4360,4172,43422,21841,21581,33401,14002,19399,17883,6592,11291,373
大館市,69237,32551,36686,68649,32328,36321,6479,3356,3123,35272,17892,17380,26998,11008,15990,14851,5239,9612,295
男鹿市,25154,11860,13294,25082,11825,13257,1723,886,837,11474,5879,5595,11809,5009,6800,6282,2316,3966,44
湯沢市,42091,20115,21976,41952,20083,21869,3613,1874,1739,21485,11039,10446,16926,7165,9761,9195,3464,5731,114
鹿角市,29088,13684,15404,28942,13626,15316,2877,1432,1445,14259,7424,6835,11843,4756,7087,6521,2178,4343,89
由利本荘市,74707,35842,38865,74032,35551,38481,7467,3834,3633,38918,20169,18749,27783,11553,16230,14516,5114,9402,256
潟上市,31720,14967,16753,31549,14874,16675,3272,1709,1563,17095,8496,8599,11218,4672,6546,5637,2053,3584,85
大仙市,77657,36287,41370,77124,36099,41025,7611,3881,3730,39751,19961,19790,29871,12264,17607,16022,5613,10409,226
北秋田市,30198,14157,16041,30022,14118,15904,2437,1235,1202,14260,7419,6841,13438,5459,7979,7547,2644,4903,142
にかほ市,23435,11218,12217,23347,11167,12180,2244,1113,1131,12041,6278,5763,9140,3818,5322,4803,1722,3081,83
仙北市,24610,11408,13202,24483,11376,13107,2135,1054,1081,11845,5960,5885,10533,4343,6190,5646,2009,3637,89
小坂町,4780,2232,2548,4747,2224,2523,354,184,170,2281,1188,1093,2145,860,1285,1227,408,819,33
上小阿仁村,2063,986,1077,2042,983,1059,117,60,57,839,458,381,1107,468,639,677,249,428,21
藤里町,2896,1380,1516,2870,1377,1493,200,103,97,1283,674,609,1413,603,810,780,289,491,26
三種町,15254,7034,8220,15208,7024,8184,1167,565,602,7151,3636,3515,6935,2832,4103,3815,1302,2513,46
八峰町,6577,3071,3506,6529,3069,3460,442,221,221,3098,1604,1494,3036,1245,1791,1659,569,1090,48
五城目町,8538,3985,4553,8520,3984,4536,596,296,300,3896,1992,1904,4038,1691,2347,2261,814,1447,18
八郎潟町,5583,2534,3049,5557,2525,3032,423,205,218,2678,1329,1349,2477,998,1479,1331,447,884,26
井川町,4566,2130,2436,4537,2116,2421,332,176,156,2231,1131,1100,1977,810,1167,1066,367,699,6
大潟村,3011,1500,1511,2992,1490,1502,350,201,149,1686,875,811,954,411,543,558,244,314,19
美郷町,18613,8701,9912,18561,8695,9866,1770,911,859,9474,4751,4723,7367,3037,4330,3973,1388,2585,49
羽後町,13825,6637,7188,13717,6623,7094,1286,679,607,7085,3599,3486,5437,2350,3087,2824,1025,1799,102
東成瀬村,2704,1491,1213,2637,1432,1205,206,120,86,1455,911,544,1008,425,583,545,186,359,66
