id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
22961123,[HEAVY]near haneda airport and Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58481,139.72406,Entire home/apt,17715,2,79,2025-06-19,0.88,14,119,1,Special Economic Zoning Act | 29健生発第11808号
22961172,[PILOT] near Haneda and central Tokyo Kitchen,169225525,The Aoca Tokyo Sanno,大田区,35.58324,139.72525,Entire home/apt,,2,46,2024-10-10,0.52,14,105,1,Special Economic Zoning Act | 29健生発第11808号
22961230,[天守閣 鳳凰乃間]near haneda airport and Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58488,139.72379,Entire home/apt,17143,2,89,2025-08-10,0.98,14,119,7,Special Economic Zoning Act | 29健生発第11808号
22961855,(OLIVE )near Haneda and central Tokyo Kitchen,169225525,The Aoca Tokyo Sanno,大田区,35.58513,139.72428,Entire home/apt,,2,59,2022-12-26,0.66,14,91,0,Special Economic Zoning Act | 29健生発第11808号
22961929,[Montster]near haneda airport and Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58361,139.72563,Entire home/apt,,2,41,2023-11-16,0.45,14,117,0,Special Economic Zoning Act | 29健生発第11808号
22962002,[流水乃間]near haneda airport and Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58316,139.72373,Entire home/apt,,2,23,2025-05-07,0.25,14,120,2,Special Economic Zoning Act | 29健生発第11808号
22962052,[Moon light]near haneda airport and Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.5834,139.72385,Entire home/apt,,2,55,2024-03-15,0.60,14,101,0,Special Economic Zoning Act | 29健生発第11808号
22987846,GoTo+Long stay discount! Near Haneda/3P Apart/loft,170476605,Kazu,大田区,35.56646,139.71099,Entire home/apt,7779,5,125,2025-09-20,1.38,1,112,23,Special Economic Zoning Act | 30 健生発第 11586 号
23310893,[P slick]near haneda airport and Shinagawa,169225525,The Aoca Tokyo Sanno,大田区,35.58395,139.72375,Entire home/apt,,2,30,2025-04-03,0.33,14,101,2,Special Economic Zoning Act | 29健生発第11808号
23614845,【JR Kamata】Check-in 1 min walk/Hotel J 9 min walk!,174504697,Hiro,大田区,35.56496,139.70912,Entire home/apt,11833,2,56,2025-05-16,0.61,4,354,6,Special Economic Zoning Act | 28健生発第10454号
23818552,[M]A room for 2~5/Self check in/2min /Free wiFi,40176986,Tomoko,大田区,35.59091,139.68153,Private room,13036,2,17,2025-04-07,0.19,7,269,3,M130000045
