id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,物件種別,一日あたりの金額（円）,最小宿泊日数,レビュー数,最新レビューの日付,月間レビュー数,ホストがこの自治体で持っている物件の数,次の365日間でその物件が予約可能な日数,過去12ヶ月間のレビュー数,ライセンス
41015004,"Chartered school facility ""OKUTAMA +""",298916888,OKUTAMAPlus,奥多摩町,35.81175,139.15732,Entire home/apt,,1,66,2022-10-02,0.96,1,0,0,Hotels and Inns Business Act | 東京都西奥多摩保健所 | 31西保生き第33号
46788017,Male Dormitory of Hostel - ゲストハウスの男性専用ドミトリー,59835166,Kazuya,奥多摩町,35.80732,139.09568,Shared room,,1,8,2024-11-23,0.35,3,0,1,M130027713
46789311,Private Room of Folk House Hostel - 古民家ゲストハウスの個室,59835166,Kazuya,奥多摩町,35.80844,139.096,Private room,,1,5,2024-12-06,0.21,3,0,1,M130027713
758908933460324118,奥多摩の家 つくも(最大5人部屋),487473079,Akihiro,奥多摩町,35.809986714847206,139.13076836116792,Private room,14400,1,9,2025-08-11,0.28,2,363,3,M130031937
758946180960468271,奥多摩の家 つくも　(最大2人部屋),487473079,Akihiro,奥多摩町,35.81198000883237,139.13229801537153,Private room,16000,1,15,2025-07-25,0.48,2,363,5,M130031937
998207323495817407,古民家一棟貸し - Japanese Folk House in the Heart of Town,59835166,Kazuya,奥多摩町,35.80887,139.09763,Entire home/apt,31000,1,10,2025-08-20,0.92,3,87,10,M130027713
1080777633880070468,【紅葉・登山・絶景風呂】奥多摩の森で深呼吸する宿 To-Oku Okutama,559553308,Tsutomu,奥多摩町,35.79868582008757,139.11032810721085,Entire home/apt,13872,2,46,2025-09-28,2.52,1,166,25,M130038196
1433243956637933764,奥多摩の大自然に癒される一棟貸切プライベートゲストハウス,698528353,大川,奥多摩町,35.7989936848783,139.10947408324213,Entire home/apt,15543,1,8,2025-09-12,2.93,2,328,8,Hotels and Inns Business Act | 東京都西多摩保健所 | ７西保生き第７号
